277,find-the-celebrity,,2,True,搜寻名人,数组,,
278,first-bad-version,,1,False,第一个错误的版本,二分查找,,
279,perfect-squares,ac,2,False,完全平方数,广度优先搜索;数学;动态规划,46301816,python
280,wiggle-sort,,2,True,摆动排序,排序;数组,,
281,zigzag-iterator,,2,True,锯齿迭代器,设计,,
282,expression-add-operators,,3,False,给表达式添加运算符,分治算法,,
283,move-zeroes,,1,False,移动零,数组;双指针,,
284,peeking-iterator,,2,False,顶端迭代器,设计,,
285,inorder-successor-in-bst,,2,True,二叉搜索树中的顺序后继,树,,
286,walls-and-gates,,2,True,墙与门,广度优先搜索,,
287,find-the-duplicate-number,,2,False,寻找重复数,数组;双指针;二分查找,,
288,unique-word-abbreviation,,2,True,单词的唯一缩写,设计;哈希表,,
289,game-of-life,,2,False,生命游戏,数组,,
290,word-pattern,,1,False,单词规律,哈希表,,
291,word-pattern-ii,,3,True,单词规律 II,回溯算法,,
292,nim-game,,1,False,Nim 游戏,脑筋急转弯;极小化极大,,
293,flip-game,,1,True,翻转游戏,字符串,,
294,flip-game-ii,,2,True,翻转游戏 II,极小化极大;回溯算法,,
295,find-median-from-data-stream,,3,False,数据流的中位数,堆;设计,,
296,best-meeting-point,,3,True,最佳的碰头地点,排序;数学,,
297,serialize-and-deserialize-binary-tree,ac,3,False,二叉树的序列化与反序列化,树;设计,55382841,java
298,binary-tree-longest-consecutive-sequence,,2,True,二叉树最长连续序列,树,,
299,bulls-and-cows,,1,False,猜数字游戏,哈希表,,
300,longest-increasing-subsequence,,2,False,最长上升子序列,二分查找;动态规划,,
301,remove-invalid-parentheses,,3,False,删除无效的括号,深度优先搜索;广度优先搜索,,
302,smallest-rectangle-enclosing-black-pixels,,3,True,包含全部黑色像素的最小矩形,二分查找,,
303,range-sum-query-immutable,,1,False,区域和检索 - 数组不可变,动态规划,,
304,range-sum-query-2d-immutable,,2,False,二维区域和检索 - 矩阵不可变,动态规划,,
305,number-of-islands-ii,,3,True,岛屿数量 II,并查集,,
306,additive-number,,2,False,累加数,回溯算法,,
307,range-sum-query-mutable,,2,False,区域和检索 - 数组可修改,树状数组;线段树,,
308,range-sum-query-2d-mutable,,3,True,二维区域和检索 - 可变,树状数组;线段树,,
309,best-time-to-buy-and-sell-stock-with-cooldown,,2,False,最佳买卖股票时机含冷冻期,动态规划,,
310,minimum-height-trees,,2,False,最小高度树,广度优先搜索;图,,
311,sparse-matrix-multiplication,,2,True,稀疏矩阵的乘法,哈希表,,
312,burst-balloons,,3,False,戳气球,分治算法;动态规划,,
313,super-ugly-number,,2,False,超级丑数,堆;数学,,
314,binary-tree-vertical-order-traversal,,2,True,二叉树的垂直遍历,深度优先搜索;广度优先搜索,,
315,count-of-smaller-numbers-after-self,,3,False,计算右侧小于当前元素的个数,排序;树状数组;线段树;二分查找;分治算法,,
316,remove-duplicate-letters,,3,False,去除重复字母,栈;贪心算法,,
317,shortest-distance-from-all-buildings,,3,True,离建筑物最近的距离,广度优先搜索,,
318,maximum-product-of-word-lengths,,2,False,最大单词长度乘积,位运算,,
319,bulb-switcher,,2,False,灯泡开关,脑筋急转弯;数学,,
320,generalized-abbreviation,,2,True,列举单词的全部缩写,位运算;回溯算法,,
321,create-maximum-number,,3,False,拼接最大数,贪心算法;动态规划,,
322,coin-change,ac,2,False,零钱兑换,动态规划,46962683,java
323,number-of-connected-components-in-an-undirected-graph,,2,True,无向图中连通分量的数目,深度优先搜索;广度优先搜索;并查集;图,,
324,wiggle-sort-ii,,2,False,摆动排序 II,排序,,
325,maximum-size-subarray-sum-equals-k,,2,True,和等于 k 的最长子数组长度,哈希表,,
326,power-of-three,,1,False,3的幂,数学,,
327,count-of-range-sum,,3,False,区间和的个数,排序;树状数组;线段树;二分查找;分治算法,,
328,odd-even-linked-list,,2,False,奇偶链表,链表,,
329,longest-increasing-path-in-a-matrix,,3,False,矩阵中的最长递增路径,深度优先搜索;拓扑排序;记忆化,,
330,patching-array,,3,False,按要求补齐数组,贪心算法,,
331,verify-preorder-serialization-of-a-binary-tree,,2,False,验证二叉树的前序序列化,栈,,
332,reconstruct-itinerary,,2,False,重新安排行程,深度优先搜索;图,,
333,largest-bst-subtree,,2,True,最大 BST 子树,树,,
334,increasing-triplet-subsequence,,2,False,递增的三元子序列,,,
335,self-crossing,,3,False,路径交叉,数学,,
336,palindrome-pairs,,3,False,回文对,字典树;哈希表;字符串,,
337,house-robber-iii,,2,False,打家劫舍 III,树;深度优先搜索,,
338,counting-bits,,2,False,比特位计数,位运算;动态规划,,
339,nested-list-weight-sum,,1,True,嵌套列表权重和,深度优先搜索,,
340,longest-substring-with-at-most-k-distinct-characters,,3,True,至多包含 K 个不同字符的最长子串,哈希表;字符串,,
341,flatten-nested-list-iterator,,2,False,扁平化嵌套列表迭代器,栈;设计,,
342,power-of-four,,1,False,4的幂,位运算,,
343,integer-break,,2,False,整数拆分,数学;动态规划,,
344,reverse-string,,1,False,反转字符串,双指针;字符串,,
345,reverse-vowels-of-a-string,,1,False,反转字符串中的元音字母,双指针;字符串,,
